
01.02armB  <  (87,251) (87,252) (88,252) (88,251) > 
48.03armB  <  (4176,401) (4176,402) (4177,402) (4177,401) > 
48.05armB  <  (4176,701) (4176,702) (4177,702) (4177,701) > 
48.07armB  <  (4176,1001) (4176,1002) (4177,1002) (4177,1001) > 
48.09armB  <  (4176,1301) (4176,1302) (4177,1302) (4177,1301) > 
48.11armB  <  (4176,1601) (4176,1602) (4177,1602) (4177,1601) > 
48.13armB  <  (4176,1901) (4176,1902) (4177,1902) (4177,1901) > 
48.15armB  <  (4176,2201) (4176,2202) (4177,2202) (4177,2201) > 
48.17armB  <  (4176,2501) (4176,2502) (4177,2502) (4177,2501) > 
48.19armB  <  (4176,2801) (4176,2802) (4177,2802) (4177,2801) > 
48.21armB  <  (4176,3101) (4176,3102) (4177,3102) (4177,3101) > 
48.23armB  <  (4176,3401) (4176,3402) (4177,3402) (4177,3401) > 
48.25armB  <  (4176,3701) (4176,3702) (4177,3702) (4177,3701) > 
48.27armB  <  (4176,4001) (4176,4002) (4177,4002) (4177,4001) > 
48.29armB  <  (4176,4301) (4176,4302) (4177,4302) (4177,4301) > 
48.31armB  <  (4176,4601) (4176,4602) (4177,4602) (4177,4601) > 
48.33armB  <  (4176,4901) (4176,4902) (4177,4902) (4177,4901) > 
49.02armB  <  (4263,251) (4263,252) (4264,252) (4264,251) > 
49.04armB  <  (4263,551) (4263,552) (4264,552) (4264,551) > 
49.06armB  <  (4263,851) (4263,852) (4264,852) (4264,851) > 
49.08armB  <  (4263,1151) (4263,1152) (4264,1152) (4264,1151) > 
49.10armB  <  (4263,1451) (4263,1452) (4264,1452) (4264,1451) > 
49.12armB  <  (4263,1751) (4263,1752) (4264,1752) (4264,1751) > 
49.14armB  <  (4263,2051) (4263,2052) (4264,2052) (4264,2051) > 
49.16armB  <  (4263,2351) (4263,2352) (4264,2352) (4264,2351) > 
49.18armB  <  (4263,2651) (4263,2652) (4264,2652) (4264,2651) > 
49.20armB  <  (4263,2951) (4263,2952) (4264,2952) (4264,2951) > 
49.22armB  <  (4263,3251) (4263,3252) (4264,3252) (4264,3251) > 
49.24armB  <  (4263,3551) (4263,3552) (4264,3552) (4264,3551) > 
49.26armB  <  (4263,3851) (4263,3852) (4264,3852) (4264,3851) > 
49.28armB  <  (4263,4151) (4263,4152) (4264,4152) (4264,4151) > 
49.30armB  <  (4263,4451) (4263,4452) (4264,4452) (4264,4451) > 
49.32armB  <  (4263,4751) (4263,4752) (4264,4752) (4264,4751) > 
49.34armB  <  (4247,5029) (4247,5030) (4248,5030) (4248,5029) > 
50.03armB  <  (4350,401) (4350,402) (4351,402) (4351,401) > 
50.05armB  <  (4350,701) (4350,702) (4351,702) (4351,701) > 
50.07armB  <  (4350,1001) (4350,1002) (4351,1002) (4351,1001) > 
50.09armB  <  (4350,1301) (4350,1302) (4351,1302) (4351,1301) > 
50.11armB  <  (4350,1601) (4350,1602) (4351,1602) (4351,1601) > 
50.13armB  <  (4350,1901) (4350,1902) (4351,1902) (4351,1901) > 
50.15armB  <  (4350,2201) (4350,2202) (4351,2202) (4351,2201) > 
50.17armB  <  (4350,2501) (4350,2502) (4351,2502) (4351,2501) > 
50.19armB  <  (4350,2801) (4350,2802) (4351,2802) (4351,2801) > 
50.21armB  <  (4350,3101) (4350,3102) (4351,3102) (4351,3101) > 
50.23armB  <  (4350,3401) (4350,3402) (4351,3402) (4351,3401) > 
50.25armB  <  (4350,3701) (4350,3702) (4351,3702) (4351,3701) > 
50.27armB  <  (4350,4001) (4350,4002) (4351,4002) (4351,4001) > 
50.29armB  <  (4350,4301) (4350,4302) (4351,4302) (4351,4301) > 
50.31armB  <  (4350,4601) (4350,4602) (4351,4602) (4351,4601) > 
50.33armB  <  (4350,4901) (4350,4902) (4351,4902) (4351,4901) > 
51.02armB  <  (4405,274) (4405,275) (4406,275) (4406,274) > 
51.04armB  <  (4437,551) (4437,552) (4438,552) (4438,551) > 
51.06armB  <  (4437,851) (4437,852) (4438,852) (4438,851) > 
51.08armB  <  (4437,1151) (4437,1152) (4438,1152) (4438,1151) > 
51.10armB  <  (4437,1451) (4437,1452) (4438,1452) (4438,1451) > 
51.12armB  <  (4437,1751) (4437,1752) (4438,1752) (4438,1751) > 
51.14armB  <  (4437,2051) (4437,2052) (4438,2052) (4438,2051) > 
51.16armB  <  (4437,2351) (4437,2352) (4438,2352) (4438,2351) > 
51.18armB  <  (4437,2651) (4437,2652) (4438,2652) (4438,2651) > 
51.20armB  <  (4437,2951) (4437,2952) (4438,2952) (4438,2951) > 
51.22armB  <  (4437,3251) (4437,3252) (4438,3252) (4438,3251) > 
51.24armB  <  (4437,3551) (4437,3552) (4438,3552) (4438,3551) > 
51.26armB  <  (4437,3851) (4437,3852) (4438,3852) (4438,3851) > 
51.28armB  <  (4437,4151) (4437,4152) (4438,4152) (4438,4151) > 
51.30armB  <  (4437,4451) (4437,4452) (4438,4452) (4438,4451) > 
51.32armB  <  (4437,4751) (4437,4752) (4438,4752) (4438,4751) > 
51.34armB  <  (4445,5018) (4445,5019) (4446,5019) (4446,5018) > 
52.03armB  <  (4524,401) (4524,402) (4525,402) (4525,401) > 
52.05armB  <  (4524,701) (4524,702) (4525,702) (4525,701) > 
52.07armB  <  (4524,1001) (4524,1002) (4525,1002) (4525,1001) > 
52.09armB  <  (4524,1301) (4524,1302) (4525,1302) (4525,1301) > 
52.11armB  <  (4524,1601) (4524,1602) (4525,1602) (4525,1601) > 
52.13armB  <  (4524,1901) (4524,1902) (4525,1902) (4525,1901) > 
52.15armB  <  (4524,2201) (4524,2202) (4525,2202) (4525,2201) > 
52.17armB  <  (4524,2501) (4524,2502) (4525,2502) (4525,2501) > 
52.19armB  <  (4524,2801) (4524,2802) (4525,2802) (4525,2801) > 
52.21armB  <  (4524,3101) (4524,3102) (4525,3102) (4525,3101) > 
52.23armB  <  (4524,3401) (4524,3402) (4525,3402) (4525,3401) > 
52.25armB  <  (4524,3701) (4524,3702) (4525,3702) (4525,3701) > 
52.27armB  <  (4524,4001) (4524,4002) (4525,4002) (4525,4001) > 
52.29armB  <  (4524,4301) (4524,4302) (4525,4302) (4525,4301) > 
52.31armB  <  (4524,4601) (4524,4602) (4525,4602) (4525,4601) > 
52.33armB  <  (4524,4901) (4524,4902) (4525,4902) (4525,4901) > 
53.04armB  <  (4611,551) (4611,552) (4612,552) (4612,551) > 
53.06armB  <  (4611,851) (4611,852) (4612,852) (4612,851) > 
53.08armB  <  (4611,1151) (4611,1152) (4612,1152) (4612,1151) > 
53.10armB  <  (4611,1451) (4611,1452) (4612,1452) (4612,1451) > 
53.12armB  <  (4611,1751) (4611,1752) (4612,1752) (4612,1751) > 
53.14armB  <  (4611,2051) (4611,2052) (4612,2052) (4612,2051) > 
53.16armB  <  (4611,2351) (4611,2352) (4612,2352) (4612,2351) > 
53.18armB  <  (4611,2651) (4611,2652) (4612,2652) (4612,2651) > 
53.20armB  <  (4611,2951) (4611,2952) (4612,2952) (4612,2951) > 
53.22armB  <  (4611,3251) (4611,3252) (4612,3252) (4612,3251) > 
53.24armB  <  (4611,3551) (4611,3552) (4612,3552) (4612,3551) > 
53.26armB  <  (4611,3851) (4611,3852) (4612,3852) (4612,3851) > 
53.28armB  <  (4611,4151) (4611,4152) (4612,4152) (4612,4151) > 
53.30armB  <  (4611,4451) (4611,4452) (4612,4452) (4612,4451) > 
53.32armB  <  (4611,4751) (4611,4752) (4612,4752) (4612,4751) > 
53.34armB  <  (4569,5071) (4569,5072) (4570,5072) (4570,5071) > 
54.03armB  <  (4674,398) (4674,399) (4675,399) (4675,398) > 
54.05armB  <  (4698,701) (4698,702) (4699,702) (4699,701) > 
54.07armB  <  (4698,1001) (4698,1002) (4699,1002) (4699,1001) > 
54.09armB  <  (4698,1301) (4698,1302) (4699,1302) (4699,1301) > 
54.11armB  <  (4698,1601) (4698,1602) (4699,1602) (4699,1601) > 
54.13armB  <  (4698,1901) (4698,1902) (4699,1902) (4699,1901) > 
54.15armB  <  (4698,2201) (4698,2202) (4699,2202) (4699,2201) > 
54.17armB  <  (4698,2501) (4698,2502) (4699,2502) (4699,2501) > 
54.19armB  <  (4698,2801) (4698,2802) (4699,2802) (4699,2801) > 
54.21armB  <  (4698,3101) (4698,3102) (4699,3102) (4699,3101) > 
54.23armB  <  (4698,3401) (4698,3402) (4699,3402) (4699,3401) > 
54.25armB  <  (4698,3701) (4698,3702) (4699,3702) (4699,3701) > 
54.27armB  <  (4698,4001) (4698,4002) (4699,4002) (4699,4001) > 
54.29armB  <  (4698,4301) (4698,4302) (4699,4302) (4699,4301) > 
54.31armB  <  (4698,4601) (4698,4602) (4699,4602) (4699,4601) > 
54.33armB  <  (4698,4901) (4698,4902) (4699,4902) (4699,4901) > 
55.04armB  <  (4785,551) (4785,552) (4786,552) (4786,551) > 
55.06armB  <  (4785,851) (4785,852) (4786,852) (4786,851) > 
55.08armB  <  (4785,1151) (4785,1152) (4786,1152) (4786,1151) > 
55.10armB  <  (4785,1451) (4785,1452) (4786,1452) (4786,1451) > 
55.12armB  <  (4785,1751) (4785,1752) (4786,1752) (4786,1751) > 
55.14armB  <  (4785,2051) (4785,2052) (4786,2052) (4786,2051) > 
55.16armB  <  (4785,2351) (4785,2352) (4786,2352) (4786,2351) > 
55.18armB  <  (4785,2651) (4785,2652) (4786,2652) (4786,2651) > 
55.20armB  <  (4785,2951) (4785,2952) (4786,2952) (4786,2951) > 
55.22armB  <  (4785,3251) (4785,3252) (4786,3252) (4786,3251) > 
55.24armB  <  (4785,3551) (4785,3552) (4786,3552) (4786,3551) > 
55.26armB  <  (4785,3851) (4785,3852) (4786,3852) (4786,3851) > 
55.28armB  <  (4785,4151) (4785,4152) (4786,4152) (4786,4151) > 
55.30armB  <  (4785,4451) (4785,4452) (4786,4452) (4786,4451) > 
55.32armB  <  (4785,4751) (4785,4752) (4786,4752) (4786,4751) > 
56.05armB  <  (4872,701) (4872,702) (4873,702) (4873,701) > 
56.07armB  <  (4872,1001) (4872,1002) (4873,1002) (4873,1001) > 
56.09armB  <  (4872,1301) (4872,1302) (4873,1302) (4873,1301) > 
56.11armB  <  (4872,1601) (4872,1602) (4873,1602) (4873,1601) > 
56.13armB  <  (4872,1901) (4872,1902) (4873,1902) (4873,1901) > 
56.15armB  <  (4872,2201) (4872,2202) (4873,2202) (4873,2201) > 
56.17armB  <  (4872,2501) (4872,2502) (4873,2502) (4873,2501) > 
56.19armB  <  (4872,2801) (4872,2802) (4873,2802) (4873,2801) > 
56.21armB  <  (4872,3101) (4872,3102) (4873,3102) (4873,3101) > 
56.23armB  <  (4872,3401) (4872,3402) (4873,3402) (4873,3401) > 
56.25armB  <  (4872,3701) (4872,3702) (4873,3702) (4873,3701) > 
56.27armB  <  (4872,4001) (4872,4002) (4873,4002) (4873,4001) > 
56.29armB  <  (4872,4301) (4872,4302) (4873,4302) (4873,4301) > 
56.31armB  <  (4872,4601) (4872,4602) (4873,4602) (4873,4601) > 
56.33armB  <  (4872,4901) (4872,4902) (4873,4902) (4873,4901) > 
57.04armB  <  (4902,577) (4902,578) (4903,578) (4903,577) > 
57.06armB  <  (4959,851) (4959,852) (4960,852) (4960,851) > 
57.08armB  <  (4959,1151) (4959,1152) (4960,1152) (4960,1151) > 
57.10armB  <  (4959,1451) (4959,1452) (4960,1452) (4960,1451) > 
57.12armB  <  (4959,1751) (4959,1752) (4960,1752) (4960,1751) > 
57.14armB  <  (4959,2051) (4959,2052) (4960,2052) (4960,2051) > 
57.16armB  <  (4959,2351) (4959,2352) (4960,2352) (4960,2351) > 
57.18armB  <  (4959,2651) (4959,2652) (4960,2652) (4960,2651) > 
57.20armB  <  (4959,2951) (4959,2952) (4960,2952) (4960,2951) > 
57.22armB  <  (4959,3251) (4959,3252) (4960,3252) (4960,3251) > 
57.24armB  <  (4959,3551) (4959,3552) (4960,3552) (4960,3551) > 
57.26armB  <  (4959,3851) (4959,3852) (4960,3852) (4960,3851) > 
57.28armB  <  (4959,4151) (4959,4152) (4960,4152) (4960,4151) > 
57.30armB  <  (4959,4451) (4959,4452) (4960,4452) (4960,4451) > 
57.32armB  <  (4959,4751) (4959,4752) (4960,4752) (4960,4751) > 
57.34armB  <  (4959,5051) (4959,5052) (4960,5052) (4960,5051) > 
58.05armB  <  (5046,701) (5046,702) (5047,702) (5047,701) > 
58.07armB  <  (5046,1001) (5046,1002) (5047,1002) (5047,1001) > 
58.09armB  <  (5046,1301) (5046,1302) (5047,1302) (5047,1301) > 
58.11armB  <  (5046,1601) (5046,1602) (5047,1602) (5047,1601) > 
58.13armB  <  (5046,1901) (5046,1902) (5047,1902) (5047,1901) > 
58.15armB  <  (5046,2201) (5046,2202) (5047,2202) (5047,2201) > 
58.17armB  <  (5046,2501) (5046,2502) (5047,2502) (5047,2501) > 
58.19armB  <  (5046,2801) (5046,2802) (5047,2802) (5047,2801) > 
58.21armB  <  (5046,3101) (5046,3102) (5047,3102) (5047,3101) > 
58.23armB  <  (5046,3401) (5046,3402) (5047,3402) (5047,3401) > 
58.25armB  <  (5046,3701) (5046,3702) (5047,3702) (5047,3701) > 
58.27armB  <  (5046,4001) (5046,4002) (5047,4002) (5047,4001) > 
58.29armB  <  (5046,4301) (5046,4302) (5047,4302) (5047,4301) > 
58.31armB  <  (5046,4601) (5046,4602) (5047,4602) (5047,4601) > 
59.04armB  <  (5115,595) (5115,596) (5116,596) (5116,595) > 
59.06armB  <  (5133,851) (5133,852) (5134,852) (5134,851) > 
59.08armB  <  (5133,1151) (5133,1152) (5134,1152) (5134,1151) > 
59.10armB  <  (5133,1451) (5133,1452) (5134,1452) (5134,1451) > 
59.12armB  <  (5133,1751) (5133,1752) (5134,1752) (5134,1751) > 
59.14armB  <  (5133,2051) (5133,2052) (5134,2052) (5134,2051) > 
59.16armB  <  (5133,2351) (5133,2352) (5134,2352) (5134,2351) > 
59.18armB  <  (5133,2651) (5133,2652) (5134,2652) (5134,2651) > 
59.20armB  <  (5133,2951) (5133,2952) (5134,2952) (5134,2951) > 
59.22armB  <  (5133,3251) (5133,3252) (5134,3252) (5134,3251) > 
59.24armB  <  (5133,3551) (5133,3552) (5134,3552) (5134,3551) > 
59.26armB  <  (5133,3851) (5133,3852) (5134,3852) (5134,3851) > 
59.28armB  <  (5133,4151) (5133,4152) (5134,4152) (5134,4151) > 
59.30armB  <  (5133,4451) (5133,4452) (5134,4452) (5134,4451) > 
59.32armB  <  (5132,4713) (5132,4714) (5133,4714) (5133,4713) > 
60.05armB  <  (5220,701) (5220,702) (5221,702) (5221,701) > 
60.07armB  <  (5220,1001) (5220,1002) (5221,1002) (5221,1001) > 
60.09armB  <  (5220,1301) (5220,1302) (5221,1302) (5221,1301) > 
60.11armB  <  (5220,1601) (5220,1602) (5221,1602) (5221,1601) > 
60.13armB  <  (5220,1901) (5220,1902) (5221,1902) (5221,1901) > 
60.15armB  <  (5220,2201) (5220,2202) (5221,2202) (5221,2201) > 
60.17armB  <  (5220,2501) (5220,2502) (5221,2502) (5221,2501) > 
60.19armB  <  (5220,2801) (5220,2802) (5221,2802) (5221,2801) > 
60.21armB  <  (5220,3101) (5220,3102) (5221,3102) (5221,3101) > 
60.23armB  <  (5220,3401) (5220,3402) (5221,3402) (5221,3401) > 
60.25armB  <  (5220,3701) (5220,3702) (5221,3702) (5221,3701) > 
60.27armB  <  (5220,4001) (5220,4002) (5221,4002) (5221,4001) > 
60.29armB  <  (5220,4301) (5220,4302) (5221,4302) (5221,4301) > 
60.31armB  <  (5220,4601) (5220,4602) (5221,4602) (5221,4601) > 
61.04armB  <  (5299,572) (5299,573) (5300,573) (5300,572) > 
61.06armB  <  (5307,851) (5307,852) (5308,852) (5308,851) > 
61.08armB  <  (5307,1151) (5307,1152) (5308,1152) (5308,1151) > 
61.10armB  <  (5307,1451) (5307,1452) (5308,1452) (5308,1451) > 
61.12armB  <  (5307,1751) (5307,1752) (5308,1752) (5308,1751) > 
61.14armB  <  (5307,2051) (5307,2052) (5308,2052) (5308,2051) > 
61.16armB  <  (5307,2351) (5307,2352) (5308,2352) (5308,2351) > 
61.18armB  <  (5307,2651) (5307,2652) (5308,2652) (5308,2651) > 
61.20armB  <  (5307,2951) (5307,2952) (5308,2952) (5308,2951) > 
61.22armB  <  (5307,3251) (5307,3252) (5308,3252) (5308,3251) > 
61.24armB  <  (5307,3551) (5307,3552) (5308,3552) (5308,3551) > 
61.26armB  <  (5307,3851) (5307,3852) (5308,3852) (5308,3851) > 
61.28armB  <  (5307,4151) (5307,4152) (5308,4152) (5308,4151) > 
61.30armB  <  (5307,4451) (5307,4452) (5308,4452) (5308,4451) > 
61.32armB  <  (5304,4695) (5304,4696) (5305,4696) (5305,4695) > 
62.05armB  <  (5394,701) (5394,702) (5395,702) (5395,701) > 
62.07armB  <  (5394,1001) (5394,1002) (5395,1002) (5395,1001) > 
62.09armB  <  (5394,1301) (5394,1302) (5395,1302) (5395,1301) > 
62.11armB  <  (5394,1601) (5394,1602) (5395,1602) (5395,1601) > 
62.13armB  <  (5394,1901) (5394,1902) (5395,1902) (5395,1901) > 
62.15armB  <  (5394,2201) (5394,2202) (5395,2202) (5395,2201) > 
62.17armB  <  (5394,2501) (5394,2502) (5395,2502) (5395,2501) > 
62.19armB  <  (5394,2801) (5394,2802) (5395,2802) (5395,2801) > 
62.21armB  <  (5394,3101) (5394,3102) (5395,3102) (5395,3101) > 
62.23armB  <  (5394,3401) (5394,3402) (5395,3402) (5395,3401) > 
62.25armB  <  (5394,3701) (5394,3702) (5395,3702) (5395,3701) > 
62.27armB  <  (5394,4001) (5394,4002) (5395,4002) (5395,4001) > 
62.29armB  <  (5394,4301) (5394,4302) (5395,4302) (5395,4301) > 
62.31armB  <  (5394,4601) (5394,4602) (5395,4602) (5395,4601) > 
63.04armB  <  (5481,551) (5481,552) (5482,552) (5482,551) > 
63.06armB  <  (5481,851) (5481,852) (5482,852) (5482,851) > 
63.08armB  <  (5481,1151) (5481,1152) (5482,1152) (5482,1151) > 
63.10armB  <  (5481,1451) (5481,1452) (5482,1452) (5482,1451) > 
63.12armB  <  (5467,1747) (5467,1748) (5468,1748) (5468,1747) > 
63.14armB  <  (5434,2043) (5434,2044) (5435,2044) (5435,2043) > 
63.16armB  <  (5427,2345) (5427,2346) (5428,2346) (5428,2345) > 
63.18armB  <  (5494,2649) (5494,2650) (5495,2650) (5495,2649) > 
63.20armB  <  (5416,2963) (5416,2964) (5417,2964) (5417,2963) > 
63.22armB  <  (5481,3251) (5481,3252) (5482,3252) (5482,3251) > 
63.24armB  <  (5481,3551) (5481,3552) (5482,3552) (5482,3551) > 
63.26armB  <  (5481,3851) (5481,3852) (5482,3852) (5482,3851) > 
63.28armB  <  (5481,4151) (5481,4152) (5482,4152) (5482,4151) > 
63.30armB  <  (5481,4451) (5481,4452) (5482,4452) (5482,4451) > 
63.32armB  <  (5481,4751) (5481,4752) (5482,4752) (5482,4751) > 
64.03armB  <  (5568,401) (5568,402) (5569,402) (5569,401) > 
64.05armB  <  (5568,701) (5568,702) (5569,702) (5569,701) > 
64.07armB  <  (5568,1001) (5568,1002) (5569,1002) (5569,1001) > 
64.09armB  <  (5568,1301) (5568,1302) (5569,1302) (5569,1301) > 
64.11armB  <  (5555,1592) (5555,1593) (5556,1593) (5556,1592) > 
64.17armB  <  (5519,2516) (5519,2517) (5520,2517) (5520,2516) > 
64.21armB  <  (5568,3101) (5568,3102) (5569,3102) (5569,3101) > 
64.23armB  <  (5568,3401) (5568,3402) (5569,3402) (5569,3401) > 
64.25armB  <  (5568,3701) (5568,3702) (5569,3702) (5569,3701) > 
64.27armB  <  (5568,4001) (5568,4002) (5569,4002) (5569,4001) > 
64.29armB  <  (5568,4301) (5568,4302) (5569,4302) (5569,4301) > 
64.31armB  <  (5568,4601) (5568,4602) (5569,4602) (5569,4601) > 
64.33armB  <  (5525,4893) (5525,4894) (5526,4894) (5526,4893) > 
65.04armB  <  (5655,551) (5655,552) (5656,552) (5656,551) > 
65.06armB  <  (5655,851) (5655,852) (5656,852) (5656,851) > 
65.08armB  <  (5655,1151) (5655,1152) (5656,1152) (5656,1151) > 
65.10armB  <  (5655,1451) (5655,1452) (5656,1452) (5656,1451) > 
65.22armB  <  (5655,3251) (5655,3252) (5656,3252) (5656,3251) > 
65.24armB  <  (5655,3551) (5655,3552) (5656,3552) (5656,3551) > 
65.26armB  <  (5655,3851) (5655,3852) (5656,3852) (5656,3851) > 
65.28armB  <  (5655,4151) (5655,4152) (5656,4152) (5656,4151) > 
65.30armB  <  (5655,4451) (5655,4452) (5656,4452) (5656,4451) > 
65.32armB  <  (5636,4751) (5636,4752) (5637,4752) (5637,4751) > 
66.03armB  <  (5742,401) (5742,402) (5743,402) (5743,401) > 
66.05armB  <  (5742,701) (5742,702) (5743,702) (5743,701) > 
66.07armB  <  (5742,1001) (5742,1002) (5743,1002) (5743,1001) > 
66.09armB  <  (5742,1301) (5742,1302) (5743,1302) (5743,1301) > 
66.21armB  <  (5709,3117) (5709,3118) (5710,3118) (5710,3117) > 
66.23armB  <  (5718,3391) (5718,3392) (5719,3392) (5719,3391) > 
66.25armB  <  (5723,3697) (5723,3698) (5724,3698) (5724,3697) > 
66.27armB  <  (5742,4001) (5742,4002) (5743,4002) (5743,4001) > 
66.29armB  <  (5742,4301) (5742,4302) (5743,4302) (5743,4301) > 
66.31armB  <  (5704,4562) (5704,4563) (5705,4563) (5705,4562) > 
66.33armB  <  (5714,4888) (5714,4889) (5715,4889) (5715,4888) > 
67.02armB  <  (5829,251) (5829,252) (5830,252) (5830,251) > 
67.04armB  <  (5829,551) (5829,552) (5830,552) (5830,551) > 
67.06armB  <  (5829,851) (5829,852) (5830,852) (5830,851) > 
67.08armB  <  (5829,1151) (5829,1152) (5830,1152) (5830,1151) > 
67.10armB  <  (5829,1451) (5829,1452) (5830,1452) (5830,1451) > 
67.26armB  <  (5811,3854) (5811,3855) (5812,3855) (5812,3854) > 
67.28armB  <  (5807,4178) (5807,4179) (5808,4179) (5808,4178) > 
67.30armB  <  (5829,4451) (5829,4452) (5830,4452) (5830,4451) > 
68.01armB  <  (5916,101) (5916,102) (5917,102) (5917,101) > 
68.03armB  <  (5916,401) (5916,402) (5917,402) (5917,401) > 
68.05armB  <  (5916,701) (5916,702) (5917,702) (5917,701) > 
68.07armB  <  (5916,1001) (5916,1002) (5917,1002) (5917,1001) > 
68.09armB  <  (5916,1301) (5916,1302) (5917,1302) (5917,1301) > 
68.27armB  <  (5894,3990) (5894,3991) (5895,3991) (5895,3990) > 
68.29armB  <  (5892,4337) (5892,4338) (5893,4338) (5893,4337) > 
68.31armB  <  (5905,4559) (5905,4560) (5906,4560) (5906,4559) > 

01.02armG  <  (87,251) (87,252) (88,252) (88,251) > 
01.04armG  <  (87,551) (87,552) (88,552) (88,551) > 
01.06armG  <  (87,851) (87,852) (88,852) (88,851) > 
01.10armG  <  (87,1451) (87,1452) (88,1452) (88,1451) > 
01.12armG  <  (87,1751) (87,1752) (88,1752) (88,1751) > 
01.14armG  <  (87,2051) (87,2052) (88,2052) (88,2051) > 
01.16armG  <  (87,2351) (87,2352) (88,2352) (88,2351) > 
01.18armG  <  (87,2651) (87,2652) (88,2652) (88,2651) > 
02.01armG  <  (174,101) (174,102) (175,102) (175,101) > 
02.03armG  <  (174,401) (174,402) (175,402) (175,401) > 
02.05armG  <  (174,701) (174,702) (175,702) (175,701) > 
02.07armG  <  (174,1001) (174,1002) (175,1002) (175,1001) > 
02.09armG  <  (174,1301) (174,1302) (175,1302) (175,1301) > 
02.11armG  <  (174,1601) (174,1602) (175,1602) (175,1601) > 
02.13armG  <  (174,1901) (174,1902) (175,1902) (175,1901) > 
02.15armG  <  (174,2201) (174,2202) (175,2202) (175,2201) > 
02.17armG  <  (174,2501) (174,2502) (175,2502) (175,2501) > 
02.19armG  <  (174,2801) (174,2802) (175,2802) (175,2801) > 
03.02armG  <  (261,251) (261,252) (262,252) (262,251) > 
03.04armG  <  (261,551) (261,552) (262,552) (262,551) > 
03.06armG  <  (261,851) (261,852) (262,852) (262,851) > 
03.08armG  <  (261,1151) (261,1152) (262,1152) (262,1151) > 
03.10armG  <  (261,1451) (261,1452) (262,1452) (262,1451) > 
03.12armG  <  (261,1751) (261,1752) (262,1752) (262,1751) > 
03.14armG  <  (261,2051) (261,2052) (262,2052) (262,2051) > 
03.16armG  <  (261,2351) (261,2352) (262,2352) (262,2351) > 
03.18armG  <  (261,2651) (261,2652) (262,2652) (262,2651) > 
03.20armG  <  (261,2951) (261,2952) (262,2952) (262,2951) > 
04.01armG  <  (348,101) (348,102) (349,102) (349,101) > 
04.03armG  <  (348,401) (348,402) (349,402) (349,401) > 
04.05armG  <  (348,701) (348,702) (349,702) (349,701) > 
04.07armG  <  (348,1001) (348,1002) (349,1002) (349,1001) > 
04.09armG  <  (348,1301) (348,1302) (349,1302) (349,1301) > 
04.11armG  <  (348,1601) (348,1602) (349,1602) (349,1601) > 
04.13armG  <  (348,1901) (348,1902) (349,1902) (349,1901) > 
04.15armG  <  (348,2201) (348,2202) (349,2202) (349,2201) > 
04.17armG  <  (348,2501) (348,2502) (349,2502) (349,2501) > 
04.19armG  <  (348,2801) (348,2802) (349,2802) (349,2801) > 
04.21armG  <  (348,3101) (348,3102) (349,3102) (349,3101) > 
04.23armG  <  (392,3388) (392,3389) (393,3389) (393,3388) > 
05.02armG  <  (435,251) (435,252) (436,252) (436,251) > 
05.04armG  <  (435,551) (435,552) (436,552) (436,551) > 
05.06armG  <  (435,851) (435,852) (436,852) (436,851) > 
05.08armG  <  (435,1151) (435,1152) (436,1152) (436,1151) > 
05.10armG  <  (435,1451) (435,1452) (436,1452) (436,1451) > 
05.12armG  <  (435,1751) (435,1752) (436,1752) (436,1751) > 
05.14armG  <  (435,2051) (435,2052) (436,2052) (436,2051) > 
05.16armG  <  (435,2351) (435,2352) (436,2352) (436,2351) > 
05.18armG  <  (435,2651) (435,2652) (436,2652) (436,2651) > 
05.20armG  <  (435,2951) (435,2952) (436,2952) (436,2951) > 
05.22armG  <  (435,3251) (435,3252) (436,3252) (436,3251) > 
05.24armG  <  (459,3533) (459,3534) (460,3534) (460,3533) > 
06.01armG  <  (522,101) (522,102) (523,102) (523,101) > 
06.03armG  <  (522,401) (522,402) (523,402) (523,401) > 
06.05armG  <  (522,701) (522,702) (523,702) (523,701) > 
06.07armG  <  (522,1001) (522,1002) (523,1002) (523,1001) > 
06.09armG  <  (522,1301) (522,1302) (523,1302) (523,1301) > 
06.11armG  <  (522,1601) (522,1602) (523,1602) (523,1601) > 
06.13armG  <  (522,1901) (522,1902) (523,1902) (523,1901) > 
06.15armG  <  (522,2201) (522,2202) (523,2202) (523,2201) > 
06.17armG  <  (522,2501) (522,2502) (523,2502) (523,2501) > 
06.19armG  <  (522,2801) (522,2802) (523,2802) (523,2801) > 
06.21armG  <  (522,3101) (522,3102) (523,3102) (523,3101) > 
06.23armG  <  (522,3401) (522,3402) (523,3402) (523,3401) > 
06.25armG  <  (522,3701) (522,3702) (523,3702) (523,3701) > 
07.02armG  <  (609,251) (609,252) (610,252) (610,251) > 
07.04armG  <  (609,551) (609,552) (610,552) (610,551) > 
07.06armG  <  (609,851) (609,852) (610,852) (610,851) > 
07.08armG  <  (609,1151) (609,1152) (610,1152) (610,1151) > 
07.10armG  <  (609,1451) (609,1452) (610,1452) (610,1451) > 
07.12armG  <  (609,1751) (609,1752) (610,1752) (610,1751) > 
07.14armG  <  (609,2051) (609,2052) (610,2052) (610,2051) > 
07.16armG  <  (609,2351) (609,2352) (610,2352) (610,2351) > 
07.18armG  <  (609,2651) (609,2652) (610,2652) (610,2651) > 
07.20armG  <  (609,2951) (609,2952) (610,2952) (610,2951) > 
